COMPTE,SUJET,ENTITE__APPORTEUR,LEAD__RESP,ASSOCIE,STEP,PROB,SELL_ON,CODE_TOTEM,CA_BT__N__KE,CA_SST_INTERNE__N__KE,CA_SST_EXTERNE__N__KE,CA_MARKUP__N__KE,DONT_PCA__N_MOINS_1___KE,CA__N_PLUS_1___KE,COMMENTAIRES,DATE_DE_DEBUT_PREVUE_MISSION,OFFRE_PRINCIPALE,SECTEUR,GROUPE,TOTAL_CA_VENDU_N__KE,CA_BT_PONDERE__N__KE,D_QUALIF,D_DEBUT_REDACT°_PROPALE,D_ENVOI__PROPALE,D_GAIN,D_CLOTURE__PERTE,WEEK,DATE_REF
Mutuelle Saint Christophe,Définition stratégie Groupe & Digitale,WBT,MBO,ORE,1 - Qualifiée,0.4,Non,NA,70.0,NA,NA,NA,NA,NA,NA,NA,Digital Innovation,Assurance,Mutuelle Saint Christophe,28.0,28.0,2016-12-09T00:00:00Z,NA,NA,NA,NA,16.0,2017-04-16
Mutuelle Saint Christophe,Etude Orga Entreprises,WBT,MBO,ORE,7 - Perdue,0.0,Non,NA,1.6,60.75,NA,NA,NA,NA,NA,NA,Digital Innovation,Assurance,Mutuelle Saint Christophe,0.0,0.0,2016-12-09T00:00:00Z,2017-02-14T00:00:00Z,NA,NA,2017-02-27T00:00:00Z,16.0,2017-04-16
Nexity,Accompagnement CDR T1 2017 ,WBT,MLO,OGR,7 - Perdue,0.0,Oui,NA,99.0,NA,NA,NA,NA,NA,NA,NA,Digital Innovation,Service,Nexity,0.0,0.0,NA,2016-12-09T00:00:00Z,NA,2017-01-03T00:00:00Z,2017-01-05T00:00:00Z,16.0,2017-04-16
Nexity,Accompagnement CDR T1 2017 (Option ) ,WBT,MLO,OGR,7 - Perdue,0.0,Oui,NA,68.0,NA,NA,NA,NA,NA,NA,NA,Digital Innovation,Service,Nexity,0.0,0.0,NA,2016-12-09T00:00:00Z,NA,NA,2017-01-05T00:00:00Z,16.0,2017-04-16
Nexity,Architecte d'entreprise IR,WBT,MLO,OGR,7 - Perdue,0.0,Oui,NA,60.0,NA,NA,NA,NA,NA,NA,NA,Digital Innovation,Service,Nexity,0.0,0.0,NA,2016-12-09T00:00:00Z,NA,NA,2017-01-05T00:00:00Z,16.0,2017-04-16
Nexity,Migration de DataCenter,WBT,OGR,OGR,5 - No follow,0.0,Non,NA,50.0,NA,NA,NA,NA,NA,18/10 : proposer un dispositif type E. Wilmenot ,NA,Transformation,Service,Nexity,0.0,0.0,2016-11-01T00:00:00Z,NA,NA,NA,NA,16.0,2017-04-16
Nexity,Accompagnement au changement Management DDI,WBT,JVE,OGR,5 - No follow,0.0,Non,NA,50.0,NA,NA,NA,NA,NA,NA,NA,Transformation,Service,Nexity,0.0,0.0,NA,NA,NA,NA,NA,16.0,2017-04-16
Nexity,Sell-on Accompagnement DAM,WBT,JVE,OGR,4 - Gagnée,1.0,Oui,NEX002,70.8,5.200000000000003,NA,NA,NA,NA,NA,NA,Transformation,Service,Nexity,76.0,70.8,NA,2016-11-22T00:00:00Z,2016-12-16T00:00:00Z,2016-12-19T00:00:00Z,NA,16.0,2017-04-16
Nexity,UX - Espace privé,WBT,ARE,OGR,7 - Perdue,0.0,Non,NA,25.6,NA,26.5,NA,NA,NA,Propale Ecosystème Weave/TE,NA,Digital Innovation,Service,Nexity,0.0,0.0,2016-11-20T00:00:00Z,2016-12-05T00:00:00Z,2016-12-16T00:00:00Z,NA,2017-01-10T00:00:00Z,16.0,2017-04-16
Nexity,PMO refonte des outils SIP,WBT,JVE,OGR,7 - Perdue,0.0,Oui,NA,19.8,NA,NA,NA,0.0,NA,NA,NA,Transformation,Service,Nexity,0.0,0.0,NA,2017-03-06T00:00:00Z,2017-03-09T00:00:00Z,NA,2017-03-16T00:00:00Z,16.0,2017-04-16
Nexity,Nouveaux espaces de travail,WBT,ARE,OGR,0 - A qualifier,0.2,Non,NEXyyy,10.0,NA,NA,NA,NA,NA,NA,NA,Transformation,Service,Nexity,2.0,2.0,2017-03-27T00:00:00Z,NA,NA,NA,NA,16.0,2017-04-16
Nexity,Définition Roadmap - Smartcity/Smartbuilding (approche design),WBT,ARE,OGR,0 - A qualifier,0.2,Non,NEXzzz,20.0,NA,NA,NA,NA,NA,NA,NA,Transformation,Service,Nexity,4.0,4.0,2017-03-27T00:00:00Z,NA,NA,NA,NA,16.0,2017-04-16
Nexity,Accompagnement - Smartcity/Smartbuilding - Crosscut - Moskitos,WBT,ARE,OGR,0 - A qualifier,0.2,Non,NEXzzz,10.0,NA,NA,NA,NA,NA,NA,NA,Transformation,Service,Nexity,2.0,2.0,2017-03-27T00:00:00Z,NA,NA,NA,NA,16.0,2017-04-16
Nexity,Chef de projet innovation digitale,WBT,JVE,OGR,4 - Gagnée,1.0,Non,NEXxyz,50.75,NA,NA,NA,0.0,NA,NA,NA,Digital Innovation,Service,Nexity,50.75,50.75,NA,NA,2017-03-23T00:00:00Z,2017-04-03T00:00:00Z,NA,16.0,2017-04-16
Nexity,Chef de projet innovation digitale T3,WBT,MMO,OGR,2 - A émettre,0.8,Oui,NEXxyz,42.0,NA,NA,NA,0.0,NA,NA,2017-06-15T00:00:00Z,Digital Innovation,Service,Nexity,33.6,33.6,NA,2017-04-07T00:00:00Z,2017-06-20T00:00:00Z,2017-04-06T00:00:00Z,NA,16.0,2017-04-16
Nexity,Chef de projet innovation digitale T4,WBT,MMO,OGR,2 - A émettre,0.8,Oui,NEXxyz,54.25,NA,NA,NA,0.0,NA,NA,2017-09-15T00:00:00Z,Digital Innovation,Service,Nexity,43.400000000000006,43.400000000000006,NA,NA,2017-09-20T00:00:00Z,NA,NA,16.0,2017-04-16
Pepsico,IIF - Responsive Working,WBT,MLN,ORE,5 - No follow,0.0,Non,NA,50.0,NA,NA,NA,NA,NA,NA,NA,Digital Innovation,Retail,Pepsico,0.0,0.0,NA,2017-03-08T00:00:00Z,NA,NA,2017-04-07T00:00:00Z,16.0,2017-04-16
Photobox ,Chef de projet digital ,WBT,UHE,UHE,5 - No follow,0.0,Non,NA,0.0,30.0,NA,NA,NA,NA,Sous-traitance interne Airmis (profil BT trop cher),NA,Digital Innovation,Service,Photobox,0.0,0.0,NA,2017-01-13T00:00:00Z,2017-02-03T00:00:00Z,NA,2017-04-06T00:00:00Z,16.0,2017-04-16
Pierre Fabre,IIF - Etude modèle relationnel Grand Groupes-Start-up,WBT,MBO,MMO,4 - Gagnée,1.0,Non,PF001,7.0,NA,NA,NA,NA,NA,NA,NA,Digital Innovation,Industrie,Pierre Fabre,7.0,7.0,NA,NA,2017-02-20T00:00:00Z,2017-03-10T00:00:00Z,NA,16.0,2017-04-16
Pramex,IIF - Structuration Pôle Digitale et R&D ,WBT,MLN,ORE,1 - Qualifiée,0.2,Oui,NA,60.0,NA,NA,NA,NA,NA,NA,NA,Digital Innovation,Banque,Pramex,12.0,12.0,2017-04-07T00:00:00Z,NA,NA,NA,NA,16.0,2017-04-16
Prestashop,Transformation Data + UX,WBT,UHE,UHE,4 - Gagnée,1.0,Oui,PREST001,356.0,NA,80.0,NA,0.0,NA,prestation sur 3 mois,NA,Transformation,Retail,Prestashop,436.0,356.0,NA,2017-01-13T00:00:00Z,2017-02-09T00:00:00Z,2017-01-27T00:00:00Z,NA,16.0,2017-04-16
Protex International,Stratégie digitale et feuille de route,WBT,MMO,MMO,5 - No follow,0.0,Non,NA,50.0,NA,NA,NA,NA,NA,NQU : Passé à No Follow le 9/04/2017,NA,Digital Innovation,Service,Protex International,0.0,0.0,2016-12-01T00:00:00Z,2016-12-06T00:00:00Z,2016-12-19T00:00:00Z,NA,2017-04-09T00:00:00Z,16.0,2017-04-16
PSG,Accompagnement Si performance sportive,WBT,KLA,BES,5 - No follow,0.0,Non,NA,132.0,NA,NA,NA,NA,NA,NA,NA,Transformation,Service,PSG,0.0,0.0,NA,NA,2016-11-25T00:00:00Z,NA,2017-04-04T00:00:00Z,16.0,2017-04-16
RATP,Transformation Digitale,WBT,JSO,MMO,7 - Perdue,0.0,Non,NA,50.0,NA,NA,NA,NA,NA,NA,NA,ETM,Service,RATP,0.0,0.0,NA,NA,2016-12-05T00:00:00Z,NA,NA,16.0,2017-04-16
SEMMARIS  (RUNGIS),Marché Cadre : Marketplace  / AMOA/ CRM,WBT,MLO,UHE,3 - Emise,0.2,Non,NA,200.0,NA,NA,NA,NA,NA,RDV de qualification client le 08/03,2017-04-07T00:00:00Z,Transformation,Para-public,Semmaris,40.0,40.0,NA,2017-03-18T00:00:00Z,2017-04-07T00:00:00Z,NA,NA,16.0,2017-04-16
SG - XXX,IIF - LXP Design Fiction,WIES,MLN,ORE,3 - Emise,0.2,Non,NA,15.0,NA,NA,NA,NA,NA,NA,2017-02-15T00:00:00Z,Digital Innovation,Banque,SG,3.0,3.0,2017-02-14T00:00:00Z,NA,2017-02-14T00:00:00Z,NA,NA,16.0,2017-04-16
SG-BDDF,SG - BDDF : CDS Communautés T2-T3-T4 2017,WBT,MBO,MMO,0 - A qualifier,0.4,Oui,NA,120.0,NA,NA,NA,NA,NA,NA,NA,Digital Innovation,Banque,SG,48.0,48.0,NA,2016-12-09T00:00:00Z,NA,NA,NA,16.0,2017-04-16
SG-BDDF,SG - BDDF : CDS Communautés T1 2017 - Communauté RC PRO,WBT,MBO,MMO,3 - Emise,0.6,Oui,WG/SG052,30.0,NA,NA,NA,NA,NA,NA,2017-01-01T00:00:00Z,Digital Innovation,Banque,SG,18.0,18.0,NA,2016-12-09T00:00:00Z,2016-12-09T00:00:00Z,NA,NA,16.0,2017-04-16
SG-BSC,SG - BSC Datalab - Opportunité DataLab auprès du nouveau département Data de BSC,WBT,BMO,GCH,5 - No follow,0.0,Non,NA,20.0,NA,NA,NA,NA,NA,BMO : Rendez-vous à organiser via F. Bouloy,NA,Data,Banque,SG,0.0,0.0,NA,NA,NA,NA,2017-03-28T00:00:00Z,16.0,2017-04-16
SG-BSC,SG - Création Communauté Architecture,WBT,JSO,JSO,5 - No follow,0.0,Non,NA,20.0,NA,NA,NA,NA,NA,NA,NA,ETM,Banque,SG,0.0,0.0,2016-10-31T00:00:00Z,NA,NA,NA,2017-01-20T00:00:00Z,16.0,2017-04-16
SG-GTB,SG - GTB : PMO 2017,WBan,JSO,JSO,4 - Gagnée,1.0,Oui,WFS/SG076,51.92,NA,NA,NA,NA,NA,Markup maintenu (ORE),NA,Transformation,Banque,SG,51.92,51.92,NA,2016-11-23T00:00:00Z,NA,2017-01-31T00:00:00Z,NA,16.0,2017-04-16
SG-GTS-EUS,SG - EUS - Marketing des offres et des usages - Sell-on #2,WBT,BMO/ARE,GCH,5 - No follow,0.0,Oui,NA,20.0,NA,NA,NA,NA,NA,Closing2016/04/11 : En attente retour cliente,NA,Transformation,Banque,SG,0.0,0.0,NA,2016-05-23T00:00:00Z,2016-05-23T00:00:00Z,NA,2017-01-17T00:00:00Z,16.0,2017-04-16
SG-GTS-STP,Accompagnement Transfo SI GTS,WBT,GDE,JSO,5 - No follow,0.0,Non,NA,20.0,NA,NA,NA,NA,NA,NA,NA,ETM,Banque,SG,0.0,0.0,2017-01-20T00:00:00Z,NA,NA,NA,2017-03-27T00:00:00Z,16.0,2017-04-16
SG-IBFS,SG-IBFS : Direction de projet BI (Adlen,WBan,AKA,JSO,4 - Gagnée,1.0,Non,WFS/SG068,118.5,NA,NA,NA,NA,NA,NA,NA,Transformation,Banque,SG,118.5,118.5,NA,NA,NA,2017-01-01T00:00:00Z,NA,16.0,2017-04-16
SG-ITIM,SG-ITIM : Datalab : POC Data ,Airmis,JDO / BMO,BES,5 - No follow,0.0,Non,NA,NA,NA,NA,NA,NA,NA,Propale pour appuyer la réalisation de POC sur des cas d'usages existants,NA,Data,Banque,SG,0.0,0.0,2016-10-07T00:00:00Z,2016-10-08T00:00:00Z,NA,NA,2017-03-28T00:00:00Z,16.0,2017-04-16
SG-ITIM,SG-ITIM : Data management ,Airmis,SMA / BMO,BES,5 - No follow,0.0,Non,NA,18.0,NA,NA,NA,NA,NA,propale émise,NA,Data,Banque,SG,0.0,0.0,2016-10-07T00:00:00Z,2016-10-08T00:00:00Z,2016-11-28T00:00:00Z,NA,2017-03-28T00:00:00Z,16.0,2017-04-16
SG-ITIM,Accompagnement IF,WBT,JSO,JSO,0 - A qualifier,0.2,Non,NA,20.0,NA,NA,NA,NA,NA,NA,NA,Digital Innovation,Banque,SG,4.0,4.0,NA,NA,NA,NA,NA,16.0,2017-04-16
SG-ITIM,SG - ITIM :Cadrage Automates Agence - Sell-On #2,WBan,BMO/LHE,JSO,5 - No follow,0.0,Oui,NA,50.0,NA,NA,NA,NA,NA,Reporté à 2017,NA,Digital Innovation,Banque,SG,0.0,0.0,2016-05-23T00:00:00Z,NA,NA,NA,2017-01-31T00:00:00Z,16.0,2017-04-16
SG-ITIM,Transformation COO ITIM,WBT,BMO,JSO,4 - Gagnée,1.0,Non,WG/SG074,20.0,NA,NA,NA,NA,NA,NA,NA,Transformation,Banque,SG,20.0,20.0,NA,NA,NA,2016-10-01T00:00:00Z,NA,16.0,2017-04-16
SG-PRIV,SG - PRIV : Datalab,WBan,JDO,BES,7 - Perdue,0.0,Non,NA,70.0,NA,NA,NA,NA,NA,BMO : Approche commerciale via BA qui reprend le sujet,NA,Transformation,Banque,SG,0.0,0.0,2016-10-14T00:00:00Z,2016-10-14T00:00:00Z,2017-01-11T00:00:00Z,NA,2017-02-07T00:00:00Z,16.0,2017-04-16
SG-PRIV,Accompagnement PMO,WBan,JSO,JSO,4 - Gagnée,1.0,Non,WFS/SG050,169.0,NA,NA,NA,NA,NA,NA,NA,Transformation,Banque,SG,169.0,169.0,NA,NA,NA,2017-01-25T00:00:00Z,NA,16.0,2017-04-16
SG-PRIV,Accompagnement PMO T2+T3,WBan,JSO,JSO,4 - Gagnée,1.0,Non,WFS/SG050,NA,NA,NA,NA,NA,NA,Besnainou (95j) + Collumeau (37j),NA,Transformation,Banque,SG,0.0,0.0,NA,NA,NA,2017-04-01T00:00:00Z,NA,16.0,2017-04-16
SG-SEGL,Vision Cible Architecture Data,WBT,SMA,JSO,7 - Perdue,0.0,Non,NA,108.0,NA,NA,NA,0.0,NA,NA,NA,Data,Banque,SG,0.0,0.0,NA,2017-01-11T00:00:00Z,2017-01-16T00:00:00Z,NA,2017-01-28T00:00:00Z,16.0,2017-04-16
SG-TPS,Architecture d'entreprise Agile,WBT,JSO,JSO,4 - Gagnée,1.0,Non,WG/SG059,14.0,NA,NA,NA,NA,NA,NA,NA,ETM,Banque,SG,14.0,14.0,NA,2017-03-13T00:00:00Z,NA,2017-03-21T00:00:00Z,NA,16.0,2017-04-16
SNCF Groupe,API Management,WBT,SMA,OGR,0 - A qualifier,0.2,Non,NA,50.0,NA,NA,NA,NA,NA,NA,NA,ETM,Para-public,SNCF,10.0,10.0,NA,NA,NA,NA,NA,16.0,2017-04-16
SNCF Groupe,Programme IAM,WBT,JPG,OGR,0 - A qualifier,0.2,Non,NA,50.0,NA,NA,NA,NA,NA,NA,NA,ETM,Para-public,SNCF,10.0,10.0,NA,NA,NA,NA,NA,16.0,2017-04-16
SNCF Groupe,Préparation comité Data,WBT,SMA,OGR,4 - Gagnée,1.0,Non,SNCF009,9.5,3.0,NA,NA,NA,NA,NA,NA,ETM,Para-public,SNCF,12.5,9.5,NA,NA,2017-03-15T00:00:00Z,2017-03-15T00:00:00Z,NA,16.0,2017-04-16
SNCF Groupe,Préparation comité Data - sell on,WBT,SMA,OGR,2 - A émettre,0.4,Oui,SNCF009,9.5,3.0,NA,NA,NA,NA,NA,2017-04-14T00:00:00Z,ETM,Para-public,SNCF,5.0,3.8000000000000003,NA,2017-03-30T00:00:00Z,NA,NA,NA,16.0,2017-04-16
SNCF Groupe,Préparation comité Data - déclinaison GDPR,WBT,SMA,OGR,1 - Qualifiée,0.2,Oui,SNCF009,88.0,NA,NA,NA,NA,NA,NA,NA,ETM,Para-public,SNCF,17.6,17.6,2017-03-31T00:00:00Z,NA,NA,NA,NA,16.0,2017-04-16
SNCF Groupe,SNCF OPTIM - S1 2017 Sell On Janvier,WBT,PBL / NSE,ORE,4 - Gagnée,1.0,Oui,SNCF008,14.5,NA,NA,NA,NA,NA,En cours d'élaboration avec ORE,NA,Transformation,Para-public,SNCF,14.5,14.5,2016-10-15T00:00:00Z,2016-11-15T00:00:00Z,NA,2017-01-27T00:00:00Z,NA,16.0,2017-04-16
SNCF Groupe,SNCF OPTIM - S1 2017 Sell On Février et +,WBT,PBL / NSE,ORE,6 - En sommeil,0.0,Oui,NA,NA,NA,NA,NA,NA,NA,NA,NA,Transformation,Para-public,SNCF,0.0,0.0,NA,2017-11-22T00:00:00Z,NA,NA,2017-01-27T00:00:00Z,16.0,2017-04-16
SNCF Mobilité,SNCF Voyage : PTF HA groupés -extension pilotage data,WIES,OGR,OGR,0 - A qualifier,0.4,Non,NA,20.0,NA,NA,NA,NA,NA,NA,NA,Transformation,Para-public,SNCF,8.0,8.0,NA,NA,NA,2016-10-26T00:00:00Z,2016-09-12T00:00:00Z,16.0,2017-04-16
SNCF Mobilité,SNCF Voyage : PTF HA groupés,WIES,SMA,OGR,4 - Gagnée,1.0,Non,WM/SNCF3,45.9,NA,NA,NA,NA,NA,NA,NA,Transformation,Para-public,SNCF,45.9,45.9,NA,NA,NA,2016-10-26T00:00:00Z,2016-09-12T00:00:00Z,16.0,2017-04-16
SNCF Mobilité,Transilien : UX de l'attente,WBT,OGR,OGR,0 - A qualifier,0.2,Non,NA,10.0,NA,NA,NA,NA,NA,NA,NA,Transformation,Para-public,SNCF,2.0,2.0,NA,NA,NA,NA,NA,16.0,2017-04-16
SNCF Réseau,"IoT pour l'immobilier : services innovants dans la gestion des bureaux, mesur de l'efficacité de l'usage des locaux.",WBT,SMA,GCH,5 - No follow,0.0,Non,NA,30.0,NA,NA,NA,NA,NA,P. Couet,NA,Digital Innovation,Para-public,SNCF,0.0,0.0,2016-09-12T00:00:00Z,2016-09-27T00:00:00Z,NA,NA,2017-01-23T00:00:00Z,16.0,2017-04-16
SNCF Réseau,POC Data visualisation pour le COMEX Pilotis 1bis,WBT,THU,GCH,5 - No follow,0.0,Non,NA,NA,NA,NA,NA,NA,NA,NA,NA,Data,Para-public,SNCF,0.0,0.0,2016-09-12T00:00:00Z,2016-09-27T00:00:00Z,2016-12-13T00:00:00Z,2016-10-14T00:00:00Z,2017-01-02T00:00:00Z,16.0,2017-04-16
SNCF Réseau,"Lead directeur du projet SPOT, Frederick Tahon, (incluant toute la mobilité y compris Nomade)",WBT,THU,GCH,5 - No follow,0.0,Non,NA,10.0,NA,NA,NA,NA,NA,NA,NA,ETM,Para-public,SNCF,0.0,0.0,NA,NA,NA,NA,2017-01-23T00:00:00Z,16.0,2017-04-16
SNCF Réseau,Lead Franck Martinel (IOT) au sujet de CAFEINE / DEMETER / EXOCET,WBT,THU,GCH,5 - No follow,0.0,Non,NA,10.0,NA,NA,NA,NA,NA,NA,NA,ETM,Para-public,SNCF,0.0,0.0,NA,NA,NA,NA,2017-01-23T00:00:00Z,16.0,2017-04-16
SNCF Réseau,Architecture Datacenter,WBT,ANS,JSO,4 - Gagnée,1.0,oui,SNCF007,45.0,NA,NA,NA,NA,NA,"NQU : montant à vérifier, yc. PCA 2016",NA,ETM,Para-public,SNCF,45.0,45.0,NA,NA,NA,2017-01-01T00:00:00Z,NA,16.0,2017-04-16
SNCF Réseau,Architecture Datacenter (complément Avril),WBT,ANS,JSO,4 - Gagnée,1.0,oui,SNCF007,8.1,NA,NA,NA,NA,NA,NA,NA,ETM,Para-public,SNCF,8.1,8.1,NA,NA,NA,2017-03-30T00:00:00Z,NA,16.0,2017-04-16
SNCF Réseau,POC Data visualisation pour le COMEX Pilotis - POC Dataviz,WBT,THU,OGR,5 - No follow,0.0,Non,NA,66.5,NA,2.5,NA,NA,NA,"THU : Accueil favorable Directrice comptable, rencontre prévue avec la DGA Odile Fagot première quinzaine de janvier",NA,Digital Innovation,Para-public,SNCF,0.0,0.0,NA,NA,2016-10-17T00:00:00Z,NA,2017-04-04T00:00:00Z,16.0,2017-04-16
SNCF Réseau,Archi : Management visuel de l'équipe archi,WBT,OGR,OGR,4 - Gagnée,1.0,Non,SNCFXYZ,12.0,NA,NA,NA,NA,NA,NA,NA,Transformation,Para-public,SNCF,12.0,12.0,NA,2017-03-01T00:00:00Z,2017-03-16T00:00:00Z,2017-03-24T00:00:00Z,NA,16.0,2017-04-16
SNCF Réseau,Archi : Management visuel de l'équipe archi (Option),WBT,OGR,OGR,3 - Emise,0.8,Oui,SNCFXYZ,24.0,NA,NA,NA,NA,NA,NA,2017-05-16T00:00:00Z,Transformation,Para-public,SNCF,19.200000000000003,19.200000000000003,NA,2017-03-01T00:00:00Z,2017-05-16T00:00:00Z,NA,NA,16.0,2017-04-16
Sodexo,Acculturation Design Thinking,WBT,ARE,JSO,3 - Emise,0.4,Non,SODxx1,76.0,NA,NA,NA,NA,NA,NA,2016-12-05T00:00:00Z,Transformation,Service,Sodexo,30.400000000000002,30.400000000000002,NA,NA,2016-12-05T00:00:00Z,NA,NA,16.0,2017-04-16
Sodexo,Accompagnement AE France,WBT,MLO,JSO,4 - Gagnée,1.0,Non,SOD001,115.0,NA,NA,NA,NA,NA,NA,NA,ETM,Service,Sodexo,115.0,115.0,NA,2017-01-06T00:00:00Z,2017-01-17T00:00:00Z,2017-01-20T00:00:00Z,NA,16.0,2017-04-16
Sodexo,RFI Accompagnement AE Groupe,WBT,MLO,JSO,3 - Emise,0.4,Oui,NA,100.0,NA,NA,NA,NA,NA,NA,2017-03-01T00:00:00Z,ETM,Service,Sodexo,40.0,40.0,NA,NA,2017-02-21T00:00:00Z,NA,NA,16.0,2017-04-16
Sodexo,Développement Web Sécurisé,WBT,CGE,JSO,3 - Emise,0.4,Oui,NA,30.0,NA,NA,NA,0.0,NA,NA,2017-03-31T00:00:00Z,Sécurité,Service,Sodexo,12.0,12.0,NA,2017-03-27T00:00:00Z,2017-04-03T00:00:00Z,NA,NA,16.0,2017-04-16
Sofaxis,Stratégie digitale et feuille de route,WBT,TGA,MMO,3 - Emise,0.6,Non,SOFXXX,15.0,NA,NA,NA,NA,NA,MAJ TGA suite soutenance du 5/04,2017-04-05T00:00:00Z,Digital Innovation,Assurance,Sofaxis,9.0,9.0,NA,2017-01-23T00:00:00Z,2017-02-14T00:00:00Z,NA,NA,16.0,2017-04-16
Storengy,Cadrage nouveau site web,WBT,JGA,UHE,0 - A qualifier,0.2,Non,NA,70.0,NA,NA,NA,0.0,NA,NA,2017-06-01T00:00:00Z,Digital Innovation,Energie,Engie,14.0,14.0,NA,2017-06-01T00:00:00Z,2017-06-30T00:00:00Z,NA,NA,16.0,2017-04-16
SUEZ eau France,Change projet delta,WBT,UHE,UHE,7 - Perdue,0.0,Non,NA,120.0,350.0,NA,NA,0.0,NA,NA,NA,Transformation,Energie,SUEZ,0.0,0.0,NA,2017-01-06T00:00:00Z,2017-01-13T00:00:00Z,NA,2017-01-20T00:00:00Z,16.0,2017-04-16
SUEZ Eau France,"Cadrage fonctionnel portail ""toutsurmonactivité"" ",WBT,MLN,UHE,4 - Gagnée,1.0,Non,SUEZxxx,24.0,NA,NA,NA,NA,NA,NA,2017-03-13T00:00:00Z,Digital Innovation,Energie,SUEZ,24.0,24.0,NA,2017-02-09T00:00:00Z,2017-02-10T00:00:00Z,2017-03-31T00:00:00Z,NA,16.0,2017-04-16
SUEZ RV,Performance/Digitalisation usines incinération / IOT,WBT,SMA,UHE,4 - Gagnée,1.0,Non,SUEZxxx,30.0,30.0,NA,NA,0.0,NA,NA,NA,Digital Innovation,Energie,SUEZ,60.0,30.0,NA,2017-01-02T00:00:00Z,2017-02-03T00:00:00Z,2017-03-28T00:00:00Z,NA,16.0,2017-04-16
SUEZ RV,Stratégie et feuille de route digitale ,WBT,UHE,UHE,0 - A qualifier,0.2,Oui,NA,100.0,NA,NA,NA,NA,NA,NA,NA,Digital Innovation,Energie,SUEZ,20.0,20.0,NA,2017-06-01T00:00:00Z,NA,NA,NA,16.0,2017-04-16
SUEZ RV,Cadrage SI Client,WBT,MLO,UHE,0 - A qualifier,0.2,Non,NA,100.0,NA,NA,NA,0.0,NA,NA,2017-06-01T00:00:00Z,ETM,Energie,SUEZ,20.0,20.0,NA,2017-06-01T00:00:00Z,NA,NA,NA,16.0,2017-04-16
SUEZ RV,Conduite du changement portail Collectivités,WBT,JGA,UHE,3 - Emise,0.6,Non,SUEZxyz,75.0,NA,NA,NA,0.0,NA,NA,2017-04-18T00:00:00Z,Digital Innovation,Energie,SUEZ,45.0,45.0,NA,2017-04-06T00:00:00Z,2017-04-06T00:00:00Z,NA,NA,16.0,2017-04-16
Technip,Animation workshop DATA,WBT,OGR,OGR,0 - A qualifier,0.2,Non,NA,10.0,NA,NA,NA,0.0,NA,NA,NA,Transformation,Industrie,Technip,2.0,2.0,NA,NA,NA,NA,NA,16.0,2017-04-16
Thalès Services,Itération 1 urbanisation SI,WBT,LPE,JSO,0 - A qualifier,0.2,Oui,NA,80.0,NA,NA,NA,NA,NA,"LPE - prévi pour 2017, à qualifier suite à mission de diag en cours",NA,ETM,Service,Thalès,16.0,16.0,2016-03-17T00:00:00Z,NA,NA,NA,NA,16.0,2017-04-16
The Camp,IIF - Animation séminaire,WBT,MLN,OGR,4 - Gagnée,1.0,Oui,CAMYYY,3.0,NA,NA,NA,NA,NA,NA,NA,Transformation,Service,The Camp,3.0,3.0,NA,2016-09-12T00:00:00Z,2016-09-23T00:00:00Z,2017-04-07T00:00:00Z,NA,16.0,2017-04-16
The Camp,IIF - Animation séminaire,WBT,MLN,OGR,4 - Gagnée,1.0,Oui,CAMYYY,10.0,NA,NA,NA,NA,NA,NA,NA,Transformation,Service,The Camp,10.0,10.0,NA,2016-09-12T00:00:00Z,2016-10-14T00:00:00Z,2016-11-24T00:00:00Z,NA,16.0,2017-04-16
The Camp,IIF - Dessiner la métropole de demain 1/2,WBT,MLN,OGR,4 - Gagnée,1.0,Oui,CAM002,7.2,NA,NA,NA,NA,NA,NA,NA,Digital Innovation,Service,The Camp,7.2,7.2,2017-01-02T00:00:00Z,NA,2017-01-02T00:00:00Z,2017-01-23T00:00:00Z,NA,16.0,2017-04-16
The Camp,IIF - Dessiner la métropole de demain 2/2,WBT,MLN,OGR,2 - A émettre,0.6,Oui,CAM002,12.0,NA,NA,NA,NA,NA,NA,2017-06-15T00:00:00Z,Digital Innovation,Service,The Camp,7.199999999999999,7.199999999999999,NA,2017-02-27T00:00:00Z,NA,NA,NA,16.0,2017-04-16
The Camp,IIF - Design Fiction sur la voiture autonome,WBT,MLN,OGR,5 - No follow,0.0,Oui,NA,50.0,NA,NA,NA,NA,NA,NA,NA,Digital Innovation,Service,The Camp,0.0,0.0,NA,2016-11-18T00:00:00Z,NA,NA,2017-01-24T00:00:00Z,16.0,2017-04-16
Thom Europe,Stratégie de transformation,WBT,MSU,JSO,5 - No follow,0.0,Oui,NA,126.0,NA,NA,NA,NA,NA,NA,NA,ETM,Service,Thom Europe,0.0,0.0,2016-06-22T00:00:00Z,2016-09-27T00:00:00Z,2016-10-04T00:00:00Z,NA,2017-01-17T00:00:00Z,16.0,2017-04-16
THOM Europe,Stratégie de transformation digitale phase 2,WBT,MSU,JSO,4 - Gagnée,1.0,Oui,THOM001,10.0,NA,NA,NA,NA,NA,Régulation pour la facturation de janvier,NA,ETM,Retail,THOM Europe,10.0,10.0,NA,NA,NA,2017-03-07T00:00:00Z,NA,16.0,2017-04-16
